video,short-term_memorability,nb_short-term_annotations,long-term_memorability,nb_long-term_annotations
7494,0.8530575103957518,33,0.764891815099957,12
7495,0.7918768198578978,34,0.7359756377320401,10
7496,0.9043867309393018,32,0.8163957970266791,13
7497,0.8828043627538283,33,0.7867053878445799,10
7498,0.8463153317545526,33,0.761847744916069,10
7499,0.887946916590277,33,0.7903550605993086,13
7500,0.8658737522766871,33,0.791112351182887,10
7502,0.8635686056689631,43,0.7830038854982871,15
7503,0.8764907060736886,33,0.7939893354783137,11
7504,0.8663142395391814,33,0.7786012149419306,15
7505,0.8385309142342523,38,0.7834517655256713,10
7506,0.8270918270162817,34,0.7627100992973105,10
7507,0.8040517141346972,34,0.7510558984397204,12
7508,0.8621312856020508,33,0.7805501828911223,14
7510,0.8817764490626113,33,0.7968284920450142,11
7511,0.8826679411168015,34,0.8050054004127871,18
7513,0.8828593189317473,34,0.8013026761706366,19
7515,0.8941088000118154,33,0.800149725447389,13
7516,0.8769441000969014,34,0.789477140902712,11
7517,0.8485350031247005,33,0.7407801809758359,13
7518,0.8744702136441835,33,0.7860092112739004,10
7519,0.8679185346700891,32,0.7651300498733218,10
7520,0.8626913316723122,33,0.7584053512016633,14
7521,0.8470039846100013,34,0.7737693833594488,14
7522,0.8811935032037759,33,0.799412414291123,16
7523,0.8838952226095952,34,0.821236654611026,14
7524,0.8712936585293616,50,0.7880833001412539,22
7525,0.8815123114454168,42,0.806203431592047,10
7526,0.847801129661351,31,0.7657162770524387,20
7527,0.8713102020832093,33,0.774225776014851,17
7528,0.8458517689563718,32,0.7712823484883841,10
7530,0.8993222138007851,34,0.8119046382317976,11
7531,0.8704140467230432,33,0.7811758364665717,14
7532,0.8121149537899602,33,0.7594228239164931,14
7533,0.8803153069471842,34,0.8013699295121575,9
7534,0.8587370498705614,34,0.766546997006695,10
7535,0.8639993958600445,34,0.7767582419122874,10
7536,0.8496238967292368,46,0.7284400599597016,11
7538,0.8822843913931779,34,0.7975096425071926,10
7539,0.8663926493639973,32,0.7929268983483451,10
7540,0.8716371281902136,33,0.7824819816706817,10
7541,0.8779646925260108,35,0.7801474748209878,10
7542,0.9061085367496899,33,0.8020419390896619,12
7543,0.781010237072945,33,0.7260114296767964,12
7544,0.8565747645867945,34,0.786570115897435,11
7545,0.8907818209760321,33,0.8197138844404251,13
7546,0.8669107260379934,34,0.7918186114495862,14
7548,0.8743582341619702,38,0.7907960763527457,9
7549,0.8864987647581173,34,0.7951577415802529,13
7550,0.893941940516467,56,0.7821791351807958,21
7552,0.785947743295422,32,0.7308800609343518,16
7554,0.8675602735030512,51,0.7839993596733371,24
7555,0.854007245024986,55,0.7668695435419906,13
7556,0.8775137091783405,33,0.7706501210423607,19
7558,0.8234928958320922,33,0.7472408092848944,16
7560,0.8621698114059382,33,0.7748804242814858,12
7562,0.8405417531813578,33,0.7806305165759371,10
7563,0.8986918442541931,32,0.8209823443892292,16
7565,0.8292768096042196,34,0.7804339809551489,10
7566,0.8879757376784736,34,0.7824671812595387,13
7567,0.8344669324065163,32,0.7464752515123869,12
7568,0.8725796490330905,34,0.7943406780730315,13
7569,0.8592645297624347,43,0.7700539370893396,10
7571,0.8835271388791984,32,0.8023122592541811,11
7572,0.8920925745767663,34,0.8088561668104846,11
7573,0.8605767278461018,37,0.7650993741543848,11
7574,0.8640093068195807,36,0.7815019828460119,12
7575,0.8595741078993233,34,0.7571704259327257,14
7576,0.8383838667003707,33,0.7533108806242139,12
7578,0.8595162990778386,47,0.7800645367437276,11
7579,0.8574562608873436,33,0.7852060998418317,15
